escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
escrituras,editar contacto,0.04,44.58,28.71,15.86,200,1271,
escrituras,editar contacto,0.046,39.09,28.55,10.54,200,1283,
escrituras,editar contacto,0.225,16.56,15.37,1.19,200,1281,
escrituras,editar contacto,0.246,19.79,18.66,1.13,200,1281,
escrituras,alta de contacto,0.248,9.43,8.65,0.78,422,200,HTTP 422
escrituras,alta de contacto,0.252,9.8,8.83,0.97,422,200,HTTP 422
escrituras,accion en bloque,0.267,118.06,117.63,0.43,200,30,
escrituras,alta de contacto,0.268,7.02,6.77,0.24,422,200,HTTP 422
escrituras,editar contacto,0.313,41.14,40.8,0.33,200,1288,
escrituras,alta de contacto,0.447,9.44,8.74,0.69,422,200,HTTP 422
escrituras,editar contacto,0.448,15.12,14.53,0.59,200,1277,
escrituras,editar contacto,0.479,10.89,10.41,0.48,200,1263,
escrituras,alta de contacto,0.494,4.48,4.17,0.31,422,200,HTTP 422
escrituras,accion en bloque,0.499,167.01,166.79,0.22,200,30,
escrituras,alta de contacto,0.499,8.47,8.26,0.21,422,200,HTTP 422
escrituras,editar contacto,0.511,31.13,30.44,0.69,200,1279,
escrituras,editar contacto,0.563,39.61,38.82,0.79,200,1292,
escrituras,editar contacto,0.575,41.35,41.07,0.28,200,1271,
escrituras,editar contacto,0.621,29.17,28.77,0.4,200,1292,
escrituras,editar contacto,0.654,27.88,27.09,0.78,200,1281,
escrituras,alta de contacto,0.664,14.24,13.33,0.91,422,200,HTTP 422
escrituras,editar contacto,0.668,23.07,22.66,0.4,200,1281,
escrituras,editar contacto,0.676,20.23,19.23,1.0,200,1280,
escrituras,editar contacto,0.758,12.18,11.12,1.06,200,1265,
escrituras,alta de contacto,0.768,5.38,4.04,1.34,422,200,HTTP 422
escrituras,editar contacto,0.919,13.18,12.67,0.51,200,1277,
escrituras,accion en bloque,0.945,240.91,239.4,1.52,200,30,
escrituras,editar contacto,0.977,38.08,37.59,0.49,200,1271,
escrituras,accion en bloque,0.979,284.92,284.49,0.43,200,30,
escrituras,alta de contacto,1.014,18.83,17.6,1.23,422,200,HTTP 422
escrituras,editar contacto,1.079,35.44,34.75,0.69,200,1280,
escrituras,alta de contacto,1.115,20.53,20.39,0.14,422,200,HTTP 422
escrituras,editar contacto,1.119,43.77,43.22,0.55,200,1281,
escrituras,editar contacto,1.177,32.69,32.21,0.47,200,1275,
escrituras,editar contacto,1.208,32.46,31.69,0.77,200,1273,
escrituras,alta de contacto,1.226,16.9,16.75,0.15,422,200,HTTP 422
escrituras,alta de contacto,1.247,12.89,11.81,1.08,422,200,HTTP 422
escrituras,editar contacto,1.28,10.2,9.61,0.59,200,1291,
escrituras,alta de contacto,1.393,9.61,7.81,1.8,422,200,HTTP 422
escrituras,accion en bloque,1.397,167.19,166.27,0.92,200,30,
escrituras,editar contacto,1.401,32.68,31.8,0.88,200,1269,
escrituras,editar contacto,1.41,40.27,39.72,0.56,200,1274,
escrituras,editar contacto,1.457,32.76,32.49,0.27,200,1270,
escrituras,editar contacto,1.47,34.78,33.1,1.68,200,1276,
escrituras,accion en bloque,1.548,193.57,193.37,0.2,200,30,
escrituras,alta de contacto,1.572,17.52,15.81,1.71,422,200,HTTP 422
escrituras,alta de contacto,1.621,12.02,11.69,0.32,422,200,HTTP 422
escrituras,editar contacto,1.644,54.23,53.59,0.64,200,1263,
escrituras,editar contacto,1.645,47.81,47.1,0.7,200,1263,
escrituras,accion en bloque,1.666,456.71,456.36,0.34,200,30,
escrituras,editar contacto,1.681,52.64,52.13,0.52,200,1268,
escrituras,editar contacto,1.752,44.95,44.49,0.46,200,1290,
escrituras,accion en bloque,1.763,601.78,601.23,0.55,200,30,
escrituras,alta de contacto,1.765,15.74,15.34,0.4,422,200,HTTP 422
escrituras,alta de contacto,1.785,16.17,15.75,0.41,422,200,HTTP 422
escrituras,accion en bloque,1.816,547.33,547.16,0.17,200,30,
escrituras,editar contacto,1.857,56.49,55.5,0.99,200,1268,
escrituras,editar contacto,1.931,69.75,67.63,2.12,200,1278,
escrituras,alta de contacto,1.936,23.71,22.83,0.88,422,200,HTTP 422
escrituras,alta de contacto,1.984,30.22,29.74,0.47,422,200,HTTP 422
escrituras,alta de contacto,1.993,27.18,26.56,0.62,422,200,HTTP 422
escrituras,alta de contacto,2.021,29.61,28.59,1.02,422,200,HTTP 422
escrituras,accion en bloque,2.055,375.05,374.42,0.63,200,30,
escrituras,alta de contacto,2.075,20.65,19.99,0.66,422,200,HTTP 422
escrituras,alta de contacto,2.189,31.55,31.21,0.33,422,200,HTTP 422
escrituras,editar contacto,2.206,67.22,66.61,0.62,200,1269,
escrituras,alta de contacto,2.271,22.69,22.09,0.6,422,200,HTTP 422
escrituras,alta de contacto,2.321,28.37,27.93,0.45,422,200,HTTP 422
escrituras,alta de contacto,2.326,24.82,23.8,1.02,422,200,HTTP 422
escrituras,alta de contacto,2.356,13.49,13.2,0.29,422,200,HTTP 422
escrituras,editar contacto,2.383,36.64,36.08,0.56,200,1294,
escrituras,alta de contacto,2.386,13.78,12.7,1.08,422,200,HTTP 422
escrituras,accion en bloque,2.44,249.67,248.56,1.11,200,30,
escrituras,accion en bloque,2.466,251.18,250.05,1.13,200,30,
escrituras,editar contacto,2.492,68.97,68.15,0.83,200,1268,
escrituras,editar contacto,2.498,57.03,56.34,0.69,200,1275,
escrituras,alta de contacto,2.51,19.71,19.07,0.64,422,200,HTTP 422
escrituras,alta de contacto,2.697,22.12,21.52,0.6,422,200,HTTP 422
escrituras,editar contacto,2.709,18.9,18.22,0.68,200,1275,
escrituras,editar contacto,2.723,11.8,11.54,0.26,200,1265,
escrituras,alta de contacto,2.77,6.48,4.34,2.15,422,200,HTTP 422
escrituras,alta de contacto,2.9,6.31,5.33,0.97,422,200,HTTP 422
escrituras,editar contacto,2.928,21.06,19.96,1.11,200,1265,
escrituras,editar contacto,2.932,20.23,19.99,0.24,200,1277,
escrituras,accion en bloque,3.009,731.42,730.95,0.47,200,30,
escrituras,editar contacto,3.027,54.3,53.4,0.89,200,1272,
escrituras,editar contacto,3.031,53.06,52.81,0.25,200,1272,
escrituras,accion en bloque,3.054,1195.41,1194.74,0.67,200,30,
escrituras,accion en bloque,3.065,1061.24,1060.48,0.76,200,30,
escrituras,editar contacto,3.088,80.11,79.71,0.4,200,1291,
escrituras,editar contacto,3.105,69.58,69.21,0.37,200,1279,
escrituras,editar contacto,3.157,96.7,95.06,1.64,200,1281,
escrituras,editar contacto,3.163,128.36,128.0,0.35,200,1277,
escrituras,editar contacto,3.169,133.99,133.95,0.04,200,1288,
escrituras,alta de contacto,3.186,45.85,45.61,0.24,422,200,HTTP 422
escrituras,editar contacto,3.209,124.01,123.1,0.92,200,1287,
escrituras,alta de contacto,3.275,54.4,53.98,0.41,422,200,HTTP 422
escrituras,accion en bloque,3.276,1308.14,1307.16,0.98,200,30,
escrituras,editar contacto,3.376,82.75,81.82,0.93,200,1285,
escrituras,editar contacto,3.445,91.6,91.1,0.5,200,1269,
escrituras,accion en bloque,3.49,1552.78,1552.48,0.29,200,30,
escrituras,editar contacto,3.567,126.64,126.24,0.4,200,1281,
escrituras,accion en bloque,3.605,1596.86,1596.31,0.54,200,30,
escrituras,editar contacto,3.661,172.02,171.03,0.99,200,1277,
escrituras,editar contacto,3.67,150.43,149.97,0.46,200,1279,
escrituras,alta de contacto,3.728,66.59,65.9,0.69,422,200,HTTP 422
escrituras,editar contacto,3.73,140.0,138.98,1.03,200,1282,
escrituras,alta de contacto,3.731,63.16,62.26,0.9,422,200,HTTP 422
escrituras,editar contacto,3.876,123.86,123.61,0.24,200,1270,
escrituras,editar contacto,3.927,138.69,137.48,1.21,200,1274,
escrituras,alta de contacto,3.935,36.63,35.93,0.7,422,200,HTTP 422
escrituras,alta de contacto,4.007,31.82,30.99,0.83,422,200,HTTP 422
escrituras,accion en bloque,4.028,1575.66,1574.85,0.81,200,30,
escrituras,editar contacto,4.094,116.73,115.96,0.77,200,1269,
escrituras,accion en bloque,4.122,1479.06,1477.48,1.58,200,30,
