escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
oficina 30rps,resumen,0.033,168.37,145.6,22.77,200,230,
oficina 30rps,resumen,0.038,125.67,107.26,18.41,200,230,
oficina 30rps,resumen,0.188,120.62,120.09,0.53,200,230,
oficina 30rps,listar libreta,0.205,65.45,64.42,1.03,200,64669,
oficina 30rps,buscar por texto,0.207,100.21,99.23,0.98,200,32236,
oficina 30rps,buscar por texto,0.21,80.84,80.69,0.15,200,32224,
oficina 30rps,filtrar,0.223,113.92,113.29,0.64,200,32297,
oficina 30rps,buscar por texto,0.224,117.31,116.72,0.58,200,32332,
oficina 30rps,listar libreta,0.261,91.63,87.8,3.83,200,64721,
oficina 30rps,abrir ficha,0.372,12.95,12.57,0.38,200,1278,
oficina 30rps,etiquetas,0.373,23.71,23.35,0.36,200,236,
oficina 30rps,resumen,0.399,107.76,107.58,0.18,200,230,
oficina 30rps,buscar por texto,0.412,50.88,48.86,2.02,200,32196,
oficina 30rps,etiquetas,0.416,26.14,25.62,0.52,200,236,
oficina 30rps,abrir ficha,0.416,25.13,24.58,0.55,200,1288,
oficina 30rps,etiquetas,0.426,32.11,30.26,1.85,200,236,
oficina 30rps,listar libreta,0.469,29.38,28.27,1.1,200,64586,
oficina 30rps,resumen,0.479,108.96,108.63,0.33,200,230,
oficina 30rps,listar libreta,0.517,24.43,23.73,0.7,200,64667,
oficina 30rps,resumen,0.545,109.08,108.43,0.65,200,230,
oficina 30rps,buscar por texto,0.554,66.79,66.63,0.16,200,32272,
oficina 30rps,resumen,0.556,122.09,121.71,0.38,200,230,
oficina 30rps,listar libreta,0.563,51.29,49.76,1.53,200,64667,
oficina 30rps,resumen,0.632,108.33,107.64,0.69,200,230,
oficina 30rps,buscar por texto,0.64,52.2,51.77,0.43,200,32075,
oficina 30rps,resumen,0.766,101.75,100.44,1.3,200,230,
oficina 30rps,etiquetas,0.788,22.07,21.1,0.97,200,236,
oficina 30rps,resumen,0.814,112.5,111.94,0.56,200,230,
oficina 30rps,filtrar,0.816,41.69,40.91,0.79,200,32448,
oficina 30rps,abrir ficha,0.845,20.07,19.59,0.49,200,1294,
oficina 30rps,listar libreta,0.899,24.58,23.52,1.06,200,64667,
oficina 30rps,abrir ficha,0.929,13.49,12.93,0.56,200,1298,
oficina 30rps,resumen,0.932,107.35,106.75,0.6,200,230,
oficina 30rps,resumen,0.981,111.78,110.67,1.11,200,230,
oficina 30rps,listar libreta,1.006,33.48,32.52,0.95,200,64669,
oficina 30rps,buscar por texto,1.022,48.56,47.76,0.8,200,32272,
oficina 30rps,abrir ficha,1.039,9.05,8.38,0.67,200,1292,
oficina 30rps,listar libreta,1.066,26.52,25.6,0.92,200,64667,
oficina 30rps,abrir ficha,1.161,17.8,16.77,1.03,200,1290,
oficina 30rps,etiquetas,1.164,23.88,23.46,0.43,200,236,
oficina 30rps,etiquetas,1.167,23.91,22.97,0.94,200,236,
oficina 30rps,listar libreta,1.175,28.19,27.77,0.42,200,64669,
oficina 30rps,resumen,1.214,106.22,105.16,1.06,200,230,
oficina 30rps,resumen,1.225,104.22,103.49,0.72,200,230,
oficina 30rps,filtrar,1.29,39.19,38.32,0.87,200,31988,
oficina 30rps,buscar por texto,1.31,55.98,55.12,0.86,200,32109,
oficina 30rps,buscar por texto,1.351,59.58,58.49,1.09,200,32224,
oficina 30rps,resumen,1.37,120.61,120.4,0.21,200,230,
oficina 30rps,resumen,1.371,119.48,119.2,0.28,200,230,
oficina 30rps,historial de la ficha,1.389,29.11,28.76,0.35,200,8039,
oficina 30rps,resumen,1.401,122.26,122.05,0.21,200,230,
oficina 30rps,listar libreta,1.46,32.58,31.95,0.62,200,64586,
oficina 30rps,filtrar,1.469,69.49,66.0,3.49,200,32448,
oficina 30rps,buscar por texto,1.471,77.63,75.24,2.39,200,32075,
oficina 30rps,abrir ficha,1.487,20.15,18.64,1.51,200,1272,
oficina 30rps,filtrar,1.513,50.01,49.66,0.35,200,32452,
oficina 30rps,resumen,1.548,103.51,103.07,0.44,200,230,
oficina 30rps,listar libreta,1.609,29.02,28.45,0.57,200,64669,
oficina 30rps,buscar por texto,1.613,46.65,46.24,0.41,200,32233,
