escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
oficina x245,resumen de video,0.01,121.89,54.45,67.44,200,13773,
oficina x245,eventos recientes,0.012,119.91,34.63,85.27,200,14691,
oficina x245,resumen de video,0.056,74.82,33.92,40.9,200,13773,
oficina x245,eventos recientes,0.062,70.51,34.4,36.11,200,14691,
oficina x245,panel en vivo,0.062,63.84,27.92,35.93,200,42,
oficina x245,panel en vivo,0.063,63.44,28.12,35.32,200,42,
oficina x245,estado del sistema,0.067,64.64,32.83,31.81,200,318,
oficina x245,buscar contacto,0.067,59.54,27.59,31.95,200,840,
oficina x245,eventos recientes,0.079,53.84,32.75,21.09,200,14691,
oficina x245,panel en vivo,0.112,28.12,19.66,8.46,200,42,
oficina x245,resumen de video,0.112,35.92,27.12,8.8,200,13773,
oficina x245,eventos recientes,0.12,27.09,23.81,3.28,200,14691,
oficina x245,panel en vivo,0.124,13.89,8.11,5.78,200,42,
oficina x245,resumen de video,0.125,23.92,18.6,5.32,200,13773,
oficina x245,panel en vivo,0.125,20.44,14.91,5.53,200,42,
oficina x245,resumen de video,0.128,15.76,11.29,4.47,200,13773,
oficina x245,panel en vivo,0.141,8.97,6.85,2.12,200,42,
oficina x245,resumen de video,0.143,681.0,519.1,161.9,200,13773,
oficina x245,resumen de video,0.144,16.89,13.45,3.44,200,13773,
oficina x245,estado del sistema,0.144,510.04,309.11,200.92,200,318,
oficina x245,panel en vivo,0.149,466.65,270.44,196.21,200,42,
oficina x245,panel en vivo,0.155,460.64,269.67,190.97,200,42,
oficina x245,panel en vivo,0.156,6.82,2.14,4.68,200,42,
oficina x245,panel en vivo,0.159,442.09,298.75,143.34,200,42,
oficina x245,panel en vivo,0.16,441.78,258.97,182.81,200,42,
oficina x245,resumen de video,0.164,8.2,7.65,0.55,200,13773,
oficina x245,eventos recientes,0.166,182.47,90.29,92.18,200,14691,
oficina x245,panel en vivo,0.167,7.31,7.08,0.23,200,42,
oficina x245,resumen de video,0.167,13.26,12.46,0.81,200,13773,
oficina x245,eventos recientes,0.168,486.63,308.14,178.5,200,14691,
oficina x245,panel en vivo,0.169,10.58,6.79,3.79,200,42,
oficina x245,estado del sistema,0.17,187.81,74.89,112.92,200,318,
oficina x245,panel en vivo,0.17,177.42,63.95,113.47,200,42,
oficina x245,panel en vivo,0.173,426.6,255.87,170.73,200,42,
oficina x245,estado del sistema,0.174,479.99,307.48,172.51,200,318,
oficina x245,panel en vivo,0.175,424.71,251.46,173.24,200,42,
oficina x245,estado del sistema,0.176,445.78,272.87,172.91,200,318,
oficina x245,eventos recientes,0.181,158.23,54.73,103.5,200,14691,
oficina x245,resumen de video,0.182,174.81,71.53,103.28,200,13773,
oficina x245,panel en vivo,0.188,412.49,251.32,161.18,200,42,
oficina x245,resumen de video,0.19,15.83,6.11,9.72,200,13773,
oficina x245,eventos recientes,0.191,167.81,73.46,94.35,200,14691,
oficina x245,panel en vivo,0.193,12.24,4.48,7.77,200,42,
oficina x245,panel en vivo,0.195,421.63,268.98,152.65,200,42,
oficina x245,resumen de video,0.196,553.0,399.82,153.18,200,13773,
oficina x245,resumen de video,0.197,658.96,505.73,153.23,200,13773,
oficina x245,panel en vivo,0.197,452.12,301.22,150.9,200,42,
oficina x245,eventos recientes,0.199,456.25,302.85,153.39,200,14691,
oficina x245,eventos recientes,0.204,448.31,301.65,146.66,200,14691,
oficina x245,resumen de video,0.205,601.26,454.05,147.21,200,13773,
oficina x245,panel en vivo,0.209,391.72,250.26,141.46,200,42,
oficina x245,eventos recientes,0.209,452.43,308.81,143.63,200,14691,
oficina x245,eventos recientes,0.21,128.88,53.37,75.51,200,14691,
oficina x245,eventos recientes,0.217,495.95,359.42,136.53,200,14691,
oficina x245,panel en vivo,0.217,121.94,53.31,68.63,200,42,
oficina x245,eventos recientes,0.223,491.09,360.56,130.53,200,14691,
oficina x245,resumen de video,0.23,4.38,3.78,0.6,200,13773,
oficina x245,panel en vivo,0.233,423.0,301.88,121.12,200,42,
oficina x245,resumen de video,0.237,4.76,3.68,1.08,200,13773,
oficina x245,eventos recientes,0.237,546.07,429.02,117.04,200,14691,
oficina x245,eventos recientes,0.237,119.4,69.65,49.75,200,14691,
oficina x245,eventos recientes,0.238,118.53,69.51,49.02,200,14691,
oficina x245,panel en vivo,0.241,107.51,60.46,47.05,200,42,
oficina x245,eventos recientes,0.244,368.95,262.59,106.36,200,14691,
oficina x245,eventos recientes,0.245,425.72,315.91,109.8,200,14691,
oficina x245,resumen de video,0.245,8.22,5.33,2.89,200,13773,
oficina x245,estado del sistema,0.245,5.97,3.09,2.89,200,318,
oficina x245,eventos recientes,0.253,360.58,262.51,98.07,200,14691,
oficina x245,panel en vivo,0.254,2.48,2.23,0.25,200,42,
oficina x245,resumen de video,0.254,429.74,332.62,97.12,200,13773,
oficina x245,panel en vivo,0.256,399.41,295.59,103.82,200,42,
oficina x245,panel en vivo,0.258,399.1,297.04,102.07,200,42,
oficina x245,panel en vivo,0.264,349.61,257.17,92.45,200,42,
oficina x245,eventos recientes,0.266,346.83,256.12,90.72,200,14691,
oficina x245,estado del sistema,0.269,88.64,69.06,19.58,200,318,
oficina x245,eventos recientes,0.27,86.52,67.68,18.84,200,14691,
oficina x245,panel en vivo,0.27,386.48,295.6,90.88,200,42,
oficina x245,panel en vivo,0.27,3.7,2.33,1.37,200,42,
oficina x245,estado del sistema,0.272,453.65,364.96,88.69,200,318,
oficina x245,eventos recientes,0.275,419.33,333.41,85.91,200,14691,
oficina x245,eventos recientes,0.279,382.76,305.34,77.41,200,14691,
oficina x245,panel en vivo,0.28,12.88,8.64,4.23,200,42,
oficina x245,eventos recientes,0.28,11.8,7.92,3.88,200,14691,
oficina x245,panel en vivo,0.286,366.32,295.4,70.92,200,42,
oficina x245,panel en vivo,0.295,43.67,34.62,9.06,200,42,
oficina x245,eventos recientes,0.295,3.15,2.65,0.5,200,14691,
oficina x245,panel en vivo,0.296,52.26,44.06,8.2,200,42,
oficina x245,panel en vivo,0.298,358.81,295.36,63.45,200,42,
oficina x245,panel en vivo,0.298,358.37,294.7,63.67,200,42,
oficina x245,panel en vivo,0.299,40.77,34.49,6.27,200,42,
oficina x245,resumen de video,0.299,515.82,457.93,57.89,200,13773,
oficina x245,eventos recientes,0.302,55.12,51.53,3.59,200,14691,
oficina x245,panel en vivo,0.303,36.99,33.2,3.79,200,42,
oficina x245,eventos recientes,0.303,7.65,6.9,0.75,200,14691,
oficina x245,panel en vivo,0.304,353.55,295.5,58.05,200,42,
oficina x245,panel en vivo,0.307,3.7,3.14,0.56,200,42,
oficina x245,eventos recientes,0.311,372.81,325.82,46.99,200,14691,
oficina x245,eventos recientes,0.312,47.2,44.49,2.71,200,14691,
oficina x245,panel en vivo,0.313,24.64,19.74,4.89,200,42,
oficina x245,panel en vivo,0.316,306.25,263.99,42.26,200,42,
oficina x245,eventos recientes,0.316,452.21,405.44,46.77,200,14691,
oficina x245,resumen de video,0.318,504.93,464.5,40.43,200,13773,
oficina x245,eventos recientes,0.319,437.67,394.08,43.59,200,14691,
oficina x245,panel en vivo,0.321,17.03,15.98,1.05,200,42,
oficina x245,resumen de video,0.321,627.12,585.4,41.73,200,13773,
oficina x245,resumen de video,0.322,540.34,498.97,41.37,200,13773,
oficina x245,resumen de video,0.322,535.76,490.25,45.51,200,13773,
oficina x245,eventos recientes,0.329,368.28,328.86,39.42,200,14691,
oficina x245,panel en vivo,0.33,331.96,303.84,28.12,200,42,
oficina x245,eventos recientes,0.335,361.52,327.61,33.9,200,14691,
oficina x245,resumen de video,0.341,562.67,535.07,27.61,200,13773,
oficina x245,resumen de video,0.344,391.01,375.75,15.26,200,13773,
oficina x245,panel en vivo,0.349,9.6,7.08,2.52,200,42,
oficina x245,resumen de video,0.35,15.43,13.23,2.2,200,13773,
oficina x245,resumen de video,0.351,15.66,14.06,1.59,200,13773,
oficina x245,panel en vivo,0.353,15.91,9.53,6.38,200,42,
oficina x245,eventos recientes,0.353,14.18,13.39,0.79,200,14691,
oficina x245,eventos recientes,0.354,325.54,319.89,5.65,200,14691,
oficina x245,panel en vivo,0.357,308.95,306.35,2.59,200,42,
oficina x245,panel en vivo,0.358,308.02,302.44,5.58,200,42,
oficina x245,panel en vivo,0.36,300.93,291.42,9.51,200,42,
