escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
resistencia,resumen,0.167,754.32,753.54,0.78,200,229,
resistencia,resumen,0.192,708.36,707.22,1.14,200,229,
resistencia,resumen,0.939,113.89,112.05,1.84,200,229,
resistencia,listar libreta,1.025,569.31,569.06,0.25,200,64478,
resistencia,buscar por texto,1.034,403.47,401.41,2.06,200,32181,
resistencia,buscar por texto,1.05,386.08,384.88,1.2,200,32149,
resistencia,filtrar,1.114,419.3,418.91,0.39,200,32239,
resistencia,buscar por texto,1.118,424.98,424.22,0.76,200,32311,
resistencia,listar libreta,1.305,414.93,414.08,0.85,200,64659,
resistencia,abrir ficha,1.862,283.72,281.8,1.92,200,1278,
resistencia,etiquetas,1.866,214.12,213.87,0.25,200,236,
resistencia,resumen,1.995,174.11,173.26,0.85,200,229,
resistencia,buscar por texto,2.06,117.25,116.72,0.52,200,32147,
resistencia,etiquetas,2.078,45.92,44.75,1.16,200,236,
resistencia,abrir ficha,2.08,75.84,75.69,0.15,200,1288,
resistencia,etiquetas,2.13,29.05,28.09,0.96,200,236,
resistencia,listar libreta,2.345,162.76,161.9,0.86,200,64619,
resistencia,resumen,2.394,152.03,151.75,0.28,200,229,
resistencia,listar libreta,2.586,337.34,337.13,0.21,200,64650,
resistencia,resumen,2.726,200.44,199.52,0.92,200,229,
resistencia,buscar por texto,2.768,155.4,154.61,0.79,200,32233,
resistencia,resumen,2.782,143.81,142.11,1.7,200,229,
resistencia,listar libreta,2.816,135.59,134.85,0.74,200,64650,
resistencia,resumen,3.16,161.16,159.47,1.69,200,229,
resistencia,buscar por texto,3.201,95.38,94.67,0.71,200,32059,
resistencia,resumen,3.831,59.57,58.8,0.77,200,229,
resistencia,etiquetas,3.938,17.98,16.68,1.31,200,236,
resistencia,resumen,4.072,62.34,61.41,0.93,200,229,
resistencia,filtrar,4.08,29.26,28.45,0.81,200,32448,
resistencia,abrir ficha,4.223,11.42,10.18,1.24,200,1294,
resistencia,listar libreta,4.495,26.6,25.78,0.81,200,64650,
resistencia,abrir ficha,4.647,11.06,10.12,0.95,200,1298,
resistencia,resumen,4.661,57.72,56.76,0.96,200,229,
resistencia,resumen,4.905,86.49,86.04,0.45,200,229,
resistencia,listar libreta,5.032,37.31,36.11,1.2,200,64478,
resistencia,buscar por texto,5.108,48.73,47.91,0.82,200,32233,
resistencia,abrir ficha,5.196,13.86,13.32,0.54,200,1292,
resistencia,listar libreta,5.332,37.15,36.54,0.61,200,64650,
resistencia,abrir ficha,5.806,15.05,13.94,1.11,200,1290,
resistencia,etiquetas,5.82,19.59,19.06,0.53,200,236,
resistencia,etiquetas,5.837,17.19,16.27,0.91,200,236,
resistencia,listar libreta,5.873,25.85,25.37,0.48,200,64478,
resistencia,resumen,6.07,63.91,63.16,0.74,200,229,
resistencia,resumen,6.126,62.23,61.48,0.76,200,229,
resistencia,filtrar,6.451,25.37,24.77,0.6,200,31887,
resistencia,buscar por texto,6.552,34.0,33.6,0.4,200,32109,
resistencia,buscar por texto,6.753,33.97,33.1,0.87,200,32149,
resistencia,resumen,6.851,61.04,59.93,1.11,200,229,
resistencia,resumen,6.854,57.56,56.86,0.7,200,229,
resistencia,historial de la ficha,6.943,11.62,11.09,0.52,200,8039,
resistencia,resumen,7.006,60.12,59.91,0.21,200,229,
resistencia,listar libreta,7.302,25.8,24.21,1.59,200,64619,
resistencia,filtrar,7.347,28.41,27.64,0.77,200,32448,
resistencia,buscar por texto,7.355,32.09,31.92,0.17,200,32059,
resistencia,abrir ficha,7.436,10.79,9.66,1.13,200,1272,
resistencia,filtrar,7.566,29.63,28.31,1.32,200,32452,
resistencia,resumen,7.738,59.0,57.59,1.41,200,229,
resistencia,listar libreta,8.044,26.03,25.23,0.8,200,64478,
resistencia,buscar por texto,8.067,32.91,32.53,0.38,200,32081,
resistencia,abrir ficha,8.268,10.62,9.99,0.63,200,1271,
resistencia,buscar por texto,8.305,31.87,31.22,0.65,200,32169,
resistencia,abrir ficha,8.419,12.59,12.13,0.46,200,1272,
resistencia,filtrar,8.561,23.72,23.01,0.72,200,32264,
resistencia,abrir ficha,8.644,11.77,10.42,1.35,200,1266,
resistencia,buscar por texto,9.12,32.61,31.55,1.06,200,32147,
resistencia,resumen,9.191,56.28,55.58,0.69,200,229,
resistencia,buscar por texto,9.462,32.65,32.03,0.62,200,32081,
resistencia,abrir ficha,9.673,12.08,11.1,0.98,200,1275,
resistencia,buscar por texto,9.692,31.09,30.13,0.96,200,32114,
resistencia,buscar por texto,9.815,31.91,31.17,0.74,200,32140,
resistencia,listar libreta,9.928,31.48,31.18,0.31,200,64650,
resistencia,abrir ficha,9.942,19.04,17.59,1.45,200,1294,
resistencia,duplicados,10.166,2458.91,2457.07,1.84,200,1470900,
resistencia,filtrar,10.275,28.18,27.47,0.71,200,32264,
resistencia,resumen,10.385,128.1,127.44,0.66,200,229,
resistencia,listar libreta,10.408,80.18,79.66,0.52,200,64478,
resistencia,buscar por texto,10.458,51.35,50.24,1.12,200,32149,
resistencia,buscar por texto,11.238,68.31,66.74,1.57,200,32231,
resistencia,etiquetas,11.288,20.03,19.59,0.43,200,236,
resistencia,resumen,11.346,261.86,260.76,1.1,200,229,
resistencia,abrir ficha,11.542,31.65,30.78,0.87,200,1268,
resistencia,listar libreta,12.083,63.67,61.61,2.07,200,64619,
resistencia,resumen,12.201,424.3,424.02,0.28,200,229,
resistencia,resumen,12.217,409.94,409.54,0.41,200,229,
resistencia,historial de la ficha,12.538,106.25,105.32,0.93,200,3835,
resistencia,resumen,12.612,80.3,79.26,1.03,200,229,
resistencia,resumen,12.628,66.13,65.42,0.71,200,229,
resistencia,historial de la ficha,12.725,12.19,11.46,0.73,200,9383,
resistencia,filtrar,12.771,23.76,22.73,1.02,200,32264,
resistencia,listar libreta,12.869,26.52,25.48,1.04,200,64659,
resistencia,resumen,12.936,58.14,57.85,0.29,200,229,
resistencia,resumen,13.155,62.75,61.44,1.31,200,229,
resistencia,listar libreta,13.177,26.54,26.07,0.47,200,64478,
resistencia,listar libreta,13.202,23.55,22.5,1.05,200,64659,
resistencia,listar libreta,13.276,24.25,23.75,0.49,200,64619,
resistencia,listar libreta,13.372,26.13,24.97,1.15,200,64659,
resistencia,abrir ficha,13.645,15.48,14.53,0.95,200,1267,
resistencia,etiquetas,13.651,21.24,21.08,0.16,200,236,
resistencia,resumen,14.065,60.39,59.54,0.85,200,229,
resistencia,etiquetas,14.356,17.23,16.15,1.09,200,236,
resistencia,filtrar,14.543,24.54,23.96,0.58,200,32264,
resistencia,resumen,14.861,59.67,58.2,1.48,200,229,
resistencia,etiquetas,15.02,16.63,16.33,0.3,200,236,
resistencia,listar libreta,15.252,27.03,26.14,0.88,200,64478,
resistencia,resumen,15.29,58.25,57.64,0.61,200,229,
resistencia,buscar por texto,15.533,54.15,53.63,0.52,200,32059,
resistencia,listar libreta,15.541,52.27,51.78,0.49,200,64650,
resistencia,abrir ficha,15.545,18.47,17.36,1.11,200,1275,
resistencia,listar libreta,16.149,26.14,25.19,0.95,200,64619,
resistencia,resumen,16.363,59.12,58.26,0.86,200,229,
resistencia,buscar por texto,16.396,36.28,35.96,0.33,200,32114,
resistencia,buscar por texto,16.696,36.07,35.54,0.53,200,32109,
resistencia,historial de la ficha,16.784,14.38,12.89,1.49,200,4101,
resistencia,resumen,17.059,61.11,59.71,1.4,200,229,
resistencia,etiquetas,17.173,17.92,16.8,1.12,200,236,
resistencia,buscar por texto,17.217,34.47,33.01,1.46,200,32233,
resistencia,etiquetas,17.269,16.71,14.99,1.72,200,236,
resistencia,filtrar,17.468,30.07,28.95,1.11,200,32239,
resistencia,abrir ficha,17.786,13.33,11.66,1.67,200,1292,
resistencia,resumen,17.928,59.94,58.74,1.19,200,229,
resistencia,abrir ficha,18.229,11.94,11.09,0.85,200,1266,
resistencia,resumen,18.405,57.93,57.47,0.45,200,229,
resistencia,resumen,18.452,57.3,56.87,0.43,200,229,
resistencia,listar libreta,18.548,26.2,25.22,0.99,200,64478,
resistencia,listar libreta,18.694,25.47,24.71,0.75,200,64478,
resistencia,listar libreta,18.817,31.47,30.31,1.17,200,64650,
resistencia,buscar por texto,18.822,40.14,39.65,0.49,200,32120,
resistencia,listar libreta,19.006,27.15,25.12,2.04,200,64619,
resistencia,buscar por texto,19.109,34.72,33.65,1.07,200,32233,
resistencia,abrir ficha,19.455,12.45,11.48,0.97,200,1271,
resistencia,abrir ficha,19.635,12.25,11.66,0.58,200,1273,
resistencia,listar libreta,19.687,26.16,25.32,0.83,200,64619,
resistencia,resumen,19.783,61.3,60.43,0.87,200,229,
resistencia,buscar por texto,19.918,37.74,36.44,1.3,200,32262,
resistencia,buscar por texto,19.987,35.83,34.79,1.03,200,32147,
resistencia,resumen,20.451,59.34,58.69,0.65,200,229,
resistencia,abrir ficha,20.589,12.29,11.37,0.92,200,1276,
resistencia,listar libreta,20.913,26.76,26.19,0.57,200,64650,
resistencia,resumen,21.002,63.14,62.41,0.72,200,229,
resistencia,resumen,21.215,58.98,57.79,1.19,200,229,
resistencia,buscar por texto,21.263,31.9,31.15,0.75,200,32140,
resistencia,abrir ficha,21.293,10.27,9.96,0.31,200,1279,
resistencia,etiquetas,21.636,17.7,16.22,1.48,200,236,
resistencia,etiquetas,21.726,15.95,15.53,0.42,200,236,
resistencia,buscar por texto,21.833,32.69,31.97,0.71,200,31997,
resistencia,listar libreta,22.064,26.04,25.51,0.53,200,64619,
resistencia,listar libreta,22.792,27.76,25.76,1.99,200,64478,
resistencia,listar libreta,22.835,24.92,24.47,0.45,200,64650,
resistencia,filtrar,22.859,23.09,22.27,0.82,200,32264,
resistencia,abrir ficha,22.903,9.73,9.54,0.19,200,1271,
resistencia,buscar por texto,23.08,34.7,34.27,0.43,200,32120,
resistencia,resumen,23.146,60.26,59.33,0.94,200,229,
resistencia,abrir ficha,23.207,10.21,10.0,0.22,200,1291,
resistencia,resumen,23.467,59.38,58.79,0.59,200,229,
resistencia,resumen,23.681,61.7,60.36,1.33,200,229,
resistencia,etiquetas,23.809,17.86,16.11,1.76,200,236,
resistencia,resumen,23.845,59.34,57.83,1.51,200,229,
resistencia,listar libreta,24.27,26.98,25.7,1.28,200,64478,
resistencia,resumen,24.571,62.0,60.56,1.44,200,229,
resistencia,etiquetas,24.736,19.07,17.13,1.94,200,236,
resistencia,etiquetas,24.831,17.74,16.91,0.83,200,236,
resistencia,etiquetas,25.077,17.54,16.63,0.91,200,236,
resistencia,resumen,25.314,59.51,58.92,0.58,200,229,
resistencia,listar libreta,25.466,27.41,26.74,0.67,200,64659,
resistencia,listar libreta,25.575,27.39,26.5,0.89,200,64659,
resistencia,listar libreta,25.623,26.66,25.96,0.69,200,64659,
resistencia,resumen,26.261,63.25,61.65,1.6,200,229,
resistencia,abrir ficha,26.555,14.45,13.71,0.74,200,1291,
resistencia,resumen,26.737,61.86,61.06,0.8,200,229,
resistencia,abrir ficha,26.894,13.38,12.06,1.31,200,1275,
resistencia,listar libreta,26.917,25.38,25.0,0.38,200,64619,
resistencia,resumen,26.954,57.37,56.84,0.53,200,229,
resistencia,etiquetas,27.365,19.03,17.54,1.49,200,236,
resistencia,listar libreta,27.421,27.77,26.87,0.9,200,64650,
resistencia,resumen,27.753,61.47,60.77,0.7,200,229,
resistencia,listar libreta,27.865,29.16,27.11,2.05,200,64619,
resistencia,etiquetas,28.33,26.05,24.43,1.62,200,236,
resistencia,listar libreta,28.7,27.81,26.68,1.12,200,64650,
resistencia,etiquetas,28.804,18.37,17.57,0.8,200,236,
resistencia,buscar por texto,29.027,47.28,45.32,1.96,200,32093,
resistencia,listar libreta,29.052,40.62,39.95,0.67,200,64478,
resistencia,listar libreta,29.113,25.03,24.68,0.35,200,64619,
resistencia,buscar por texto,29.219,38.42,37.98,0.44,200,32140,
resistencia,listar libreta,29.238,37.22,35.95,1.27,200,64478,
resistencia,buscar por texto,29.395,35.55,35.13,0.42,200,32093,
resistencia,resumen,29.689,62.49,61.39,1.09,200,229,
resistencia,resumen,29.704,60.71,59.27,1.44,200,229,
resistencia,listar libreta,29.749,29.17,28.08,1.09,200,64659,
resistencia,abrir ficha,29.978,12.36,11.76,0.6,200,1275,
resistencia,listar libreta,30.619,27.94,27.03,0.91,200,64650,
resistencia,listar libreta,31.132,28.8,27.16,1.64,200,64659,
resistencia,resumen,31.156,59.18,58.9,0.29,200,229,
resistencia,abrir ficha,31.255,11.71,10.68,1.02,200,1271,
resistencia,etiquetas,31.296,16.25,15.33,0.92,200,236,
resistencia,abrir ficha,31.417,13.22,12.03,1.19,200,1288,
resistencia,buscar por texto,31.787,36.68,35.4,1.28,200,32231,
resistencia,resumen,31.964,58.47,57.75,0.72,200,229,
resistencia,resumen,32.344,60.18,59.1,1.07,200,229,
resistencia,abrir ficha,32.41,10.23,9.76,0.47,200,1281,
resistencia,abrir ficha,32.438,11.37,9.24,2.14,200,1283,
resistencia,listar libreta,32.826,25.99,24.49,1.5,200,64659,
resistencia,abrir ficha,32.933,11.15,10.22,0.93,200,1291,
resistencia,abrir ficha,33.132,11.73,10.48,1.26,200,1283,
resistencia,listar libreta,33.173,23.71,23.44,0.27,200,64619,
resistencia,listar libreta,33.271,24.85,24.28,0.57,200,64650,
resistencia,abrir ficha,33.492,11.05,10.33,0.72,200,1294,
resistencia,listar libreta,33.833,26.6,25.13,1.48,200,64478,
resistencia,abrir ficha,33.899,10.18,9.81,0.37,200,1290,
resistencia,etiquetas,33.977,16.91,15.94,0.97,200,236,
resistencia,resumen,34.239,60.19,58.82,1.38,200,229,
resistencia,resumen,34.312,61.47,59.59,1.88,200,229,
resistencia,buscar por texto,34.335,34.32,33.78,0.54,200,32105,
resistencia,listar libreta,34.523,25.72,25.27,0.45,200,64650,
resistencia,listar libreta,34.936,30.71,29.29,1.42,200,64659,
resistencia,buscar por texto,35.033,41.01,40.35,0.66,200,32169,
resistencia,buscar por texto,35.061,35.04,33.79,1.25,200,32147,
resistencia,filtrar,35.134,30.04,29.01,1.03,200,32452,
resistencia,buscar por texto,35.137,39.51,39.36,0.15,200,32081,
resistencia,listar libreta,35.177,25.06,24.43,0.62,200,64478,
resistencia,abrir ficha,35.213,10.57,10.09,0.48,200,1285,
resistencia,resumen,35.25,60.05,58.8,1.26,200,229,
resistencia,filtrar,35.322,24.2,23.73,0.47,200,32347,
resistencia,buscar por texto,35.355,34.84,34.12,0.73,200,32111,
resistencia,buscar por texto,35.618,34.46,33.69,0.77,200,32093,
resistencia,etiquetas,35.771,18.41,16.21,2.21,200,236,
resistencia,resumen,36.313,60.21,59.07,1.13,200,229,
resistencia,abrir ficha,36.371,10.66,10.31,0.35,200,1293,
resistencia,listar libreta,37.006,26.36,24.97,1.39,200,64659,
resistencia,buscar por texto,37.632,35.23,33.41,1.82,200,32181,
resistencia,listar libreta,37.763,28.49,28.02,0.47,200,64659,
resistencia,filtrar,37.818,23.92,22.92,1.0,200,32271,
resistencia,listar libreta,37.892,23.64,23.02,0.62,200,64619,
resistencia,abrir ficha,37.964,10.78,10.47,0.31,200,1275,
resistencia,listar libreta,38.033,28.71,26.54,2.17,200,64619,
resistencia,listar libreta,38.24,37.81,36.77,1.05,200,64650,
resistencia,etiquetas,38.248,23.58,23.06,0.53,200,236,
resistencia,listar libreta,38.724,26.17,25.19,0.97,200,64650,
resistencia,etiquetas,38.855,17.08,15.88,1.2,200,236,
resistencia,resumen,38.877,56.4,55.63,0.77,200,229,
resistencia,listar libreta,39.014,24.22,23.51,0.71,200,64650,
resistencia,abrir ficha,39.26,11.51,10.35,1.16,200,1277,
resistencia,listar libreta,39.333,24.68,24.28,0.4,200,64619,
resistencia,listar libreta,39.388,23.47,22.86,0.62,200,64619,
resistencia,listar libreta,39.964,27.35,26.49,0.86,200,64619,
resistencia,abrir ficha,40.419,11.28,10.07,1.21,200,1271,
resistencia,abrir ficha,40.626,11.58,10.84,0.74,200,1291,
resistencia,filtrar,40.674,30.7,30.1,0.6,200,32448,
resistencia,resumen,40.948,58.81,58.19,0.62,200,229,
resistencia,etiquetas,41.004,15.68,15.14,0.54,200,236,
resistencia,etiquetas,41.108,16.56,15.83,0.73,200,236,
resistencia,buscar por texto,41.318,33.13,32.22,0.91,200,32168,
resistencia,buscar por texto,41.785,33.56,32.55,1.01,200,32105,
resistencia,resumen,41.947,58.43,57.67,0.75,200,229,
resistencia,listar libreta,42.102,37.52,36.47,1.05,200,64650,
resistencia,buscar por texto,42.111,43.25,42.98,0.27,200,32262,
resistencia,filtrar,42.19,31.18,29.44,1.74,200,32184,
resistencia,resumen,42.191,65.81,64.96,0.85,200,229,
resistencia,buscar por texto,42.855,34.99,33.57,1.41,200,32169,
resistencia,buscar por texto,43.016,110.14,109.77,0.37,200,32149,
resistencia,listar libreta,43.024,93.41,93.09,0.33,200,64650,
resistencia,listar libreta,43.163,25.27,25.03,0.24,200,64619,
resistencia,etiquetas,43.48,17.36,16.59,0.77,200,236,
resistencia,historial de la ficha,43.625,14.2,13.01,1.19,200,11835,
resistencia,abrir ficha,43.79,12.77,11.49,1.28,200,1298,
resistencia,filtrar,43.928,38.06,37.0,1.06,200,32452,
resistencia,etiquetas,43.936,26.48,25.58,0.9,200,236,
resistencia,buscar por texto,43.997,32.1,31.32,0.78,200,32231,
resistencia,resumen,44.266,60.53,58.82,1.71,200,229,
resistencia,resumen,44.286,60.37,58.58,1.79,200,229,
resistencia,resumen,44.491,86.73,85.93,0.8,200,229,
resistencia,resumen,44.535,78.51,77.52,0.98,200,229,
resistencia,listar libreta,44.538,31.88,31.55,0.34,200,64659,
resistencia,listar libreta,44.57,33.27,32.21,1.05,200,64650,
resistencia,buscar por texto,44.579,42.39,41.54,0.85,200,32120,
resistencia,resumen,44.652,72.02,71.0,1.02,200,229,
