escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
sostenido 20rps,resumen,0.05,136.03,117.02,19.01,200,230,
sostenido 20rps,resumen,0.058,129.43,117.34,12.09,200,230,
sostenido 20rps,resumen,0.282,126.27,125.58,0.69,200,230,
sostenido 20rps,listar libreta,0.307,40.77,40.55,0.21,200,64669,
sostenido 20rps,buscar por texto,0.31,81.09,80.65,0.44,200,32236,
sostenido 20rps,buscar por texto,0.315,68.14,67.74,0.4,200,32224,
sostenido 20rps,filtrar,0.334,84.29,82.52,1.77,200,32297,
sostenido 20rps,buscar por texto,0.335,91.42,90.25,1.17,200,32332,
sostenido 20rps,listar libreta,0.392,51.63,50.67,0.96,200,64721,
sostenido 20rps,abrir ficha,0.559,14.28,13.57,0.71,200,1278,
sostenido 20rps,etiquetas,0.56,22.85,22.41,0.44,200,236,
sostenido 20rps,resumen,0.598,100.68,100.14,0.54,200,230,
sostenido 20rps,buscar por texto,0.618,47.16,46.19,0.97,200,32196,
sostenido 20rps,etiquetas,0.623,24.99,24.35,0.64,200,236,
sostenido 20rps,abrir ficha,0.624,14.86,14.23,0.63,200,1288,
sostenido 20rps,etiquetas,0.639,21.46,20.41,1.05,200,236,
sostenido 20rps,listar libreta,0.704,28.32,27.55,0.77,200,64586,
sostenido 20rps,resumen,0.718,118.73,117.54,1.18,200,230,
sostenido 20rps,listar libreta,0.776,24.62,24.35,0.27,200,64667,
sostenido 20rps,resumen,0.818,163.93,161.99,1.94,200,230,
sostenido 20rps,buscar por texto,0.83,112.69,112.31,0.38,200,32272,
sostenido 20rps,resumen,0.835,170.55,170.33,0.22,200,230,
sostenido 20rps,listar libreta,0.845,88.14,87.94,0.2,200,64667,
sostenido 20rps,resumen,0.948,108.47,108.09,0.38,200,230,
sostenido 20rps,buscar por texto,0.96,54.39,53.3,1.08,200,32075,
sostenido 20rps,resumen,1.149,110.14,109.71,0.43,200,230,
sostenido 20rps,etiquetas,1.181,22.97,22.45,0.51,200,236,
sostenido 20rps,resumen,1.222,112.88,110.68,2.19,200,230,
sostenido 20rps,filtrar,1.224,41.82,41.34,0.48,200,32448,
sostenido 20rps,abrir ficha,1.267,11.27,10.15,1.12,200,1294,
sostenido 20rps,listar libreta,1.349,25.46,24.43,1.04,200,64667,
sostenido 20rps,abrir ficha,1.394,15.06,13.93,1.14,200,1298,
sostenido 20rps,resumen,1.398,108.32,107.19,1.13,200,230,
sostenido 20rps,resumen,1.472,104.2,103.22,0.98,200,230,
sostenido 20rps,listar libreta,1.509,25.47,25.04,0.43,200,64669,
sostenido 20rps,buscar por texto,1.532,52.74,52.36,0.38,200,32272,
sostenido 20rps,abrir ficha,1.559,12.54,12.08,0.46,200,1292,
sostenido 20rps,listar libreta,1.6,24.73,23.99,0.74,200,64667,
sostenido 20rps,abrir ficha,1.742,19.29,17.36,1.93,200,1290,
sostenido 20rps,etiquetas,1.746,25.16,24.13,1.03,200,236,
sostenido 20rps,etiquetas,1.751,25.56,24.52,1.04,200,236,
sostenido 20rps,listar libreta,1.762,26.56,26.36,0.2,200,64669,
sostenido 20rps,resumen,1.821,104.93,104.1,0.82,200,230,
sostenido 20rps,resumen,1.838,104.25,103.07,1.18,200,230,
sostenido 20rps,filtrar,1.935,31.25,30.23,1.02,200,31988,
sostenido 20rps,buscar por texto,1.966,48.79,47.89,0.9,200,32109,
sostenido 20rps,buscar por texto,2.026,55.44,54.93,0.51,200,32224,
sostenido 20rps,resumen,2.055,107.83,107.49,0.34,200,230,
sostenido 20rps,resumen,2.056,106.38,106.0,0.38,200,230,
sostenido 20rps,historial de la ficha,2.083,11.14,10.49,0.66,200,8039,
sostenido 20rps,resumen,2.102,104.57,104.0,0.57,200,230,
sostenido 20rps,listar libreta,2.19,38.9,37.92,0.97,200,64586,
sostenido 20rps,filtrar,2.204,67.99,66.91,1.08,200,32448,
sostenido 20rps,buscar por texto,2.207,75.92,75.11,0.81,200,32075,
sostenido 20rps,abrir ficha,2.231,23.92,23.29,0.63,200,1272,
sostenido 20rps,filtrar,2.27,39.67,38.68,0.99,200,32452,
sostenido 20rps,resumen,2.321,103.22,102.78,0.44,200,230,
sostenido 20rps,listar libreta,2.413,40.4,39.31,1.09,200,64669,
sostenido 20rps,buscar por texto,2.42,48.53,48.28,0.25,200,32233,
sostenido 20rps,abrir ficha,2.48,10.16,9.89,0.28,200,1271,
sostenido 20rps,buscar por texto,2.492,52.03,51.86,0.17,200,32267,
sostenido 20rps,abrir ficha,2.526,21.54,20.46,1.09,200,1272,
sostenido 20rps,filtrar,2.568,35.0,33.69,1.31,200,32367,
sostenido 20rps,abrir ficha,2.593,15.25,14.8,0.46,200,1266,
sostenido 20rps,buscar por texto,2.736,48.23,47.48,0.75,200,32196,
sostenido 20rps,resumen,2.757,104.35,103.06,1.29,200,230,
sostenido 20rps,buscar por texto,2.839,46.48,45.56,0.91,200,32233,
sostenido 20rps,abrir ficha,2.902,14.14,13.36,0.78,200,1275,
sostenido 20rps,buscar por texto,2.908,54.81,53.93,0.88,200,32255,
sostenido 20rps,buscar por texto,2.945,59.72,59.15,0.57,200,32677,
sostenido 20rps,listar libreta,2.978,58.33,57.19,1.15,200,64667,
sostenido 20rps,abrir ficha,2.983,21.78,21.25,0.53,200,1294,
sostenido 20rps,duplicados,3.05,7652.0,7650.75,1.24,200,2197582,
sostenido 20rps,filtrar,3.082,34.96,33.98,0.98,200,32367,
sostenido 20rps,resumen,3.116,161.92,160.85,1.07,200,230,
sostenido 20rps,listar libreta,3.122,90.33,89.86,0.47,200,64669,
sostenido 20rps,buscar por texto,3.138,110.49,110.12,0.37,200,32224,
sostenido 20rps,buscar por texto,3.371,266.75,266.13,0.61,200,32269,
sostenido 20rps,etiquetas,3.386,74.07,72.73,1.33,200,236,
sostenido 20rps,resumen,3.404,293.31,292.62,0.69,200,230,
sostenido 20rps,abrir ficha,3.463,172.48,172.33,0.15,200,1268,
sostenido 20rps,listar libreta,3.625,71.72,70.67,1.05,200,64586,
sostenido 20rps,resumen,3.66,435.3,434.37,0.93,200,230,
sostenido 20rps,resumen,3.665,448.55,448.3,0.25,200,230,
sostenido 20rps,historial de la ficha,3.761,516.23,514.23,2.01,200,3835,
sostenido 20rps,resumen,3.784,559.44,558.47,0.97,200,230,
sostenido 20rps,resumen,3.788,582.51,581.98,0.53,200,230,
sostenido 20rps,historial de la ficha,3.818,749.57,749.34,0.23,200,9584,
sostenido 20rps,filtrar,3.831,934.06,933.49,0.57,200,32367,
sostenido 20rps,listar libreta,3.861,792.12,790.97,1.15,200,64721,
sostenido 20rps,resumen,3.881,515.73,513.79,1.94,200,230,
sostenido 20rps,resumen,3.947,626.67,626.19,0.48,200,230,
sostenido 20rps,listar libreta,3.953,781.75,781.53,0.22,200,64669,
