id,nombre_original,nombre_final,carpeta,categoria,categoria_nombre,confianza,estado,corregido,expediente,fecha_doc,titulo,paginas,bytes,metodo,metodo_extraccion,creado
1,insurance_letter.pdf,2024-03-05_SEGURO_sin-expediente_STATE-MUTUAL-INSURANCE-COMPANY.pdf,SEGURO/2024,SEGURO,Poliza / aseguradora,0.886,procesado,0,,2024-03-05,STATE MUTUAL INSURANCE COMPANY,1,1172,reglas,pdf_texto,2026-09-19T12:57:58
2,form95_claim.pdf,2024-02-08_RECLAMACION_sin-expediente_STANDARD-FORM-95.pdf,RECLAMACION/2024,RECLAMACION,Reclamacion administrativa,0.99,procesado,0,,2024-02-08,STANDARD FORM 95,1,1155,reglas,pdf_texto,2026-09-19T12:57:58
3,affidavit.pdf,2024-05-20_DECLARACION_3-24-cv-05148-MGL_AFFIDAVIT-WITNESS.pdf,DECLARACION/2024,DECLARACION,Declaracion jurada / deposicion,0.99,procesado,0,3:24-cv-05148-MGL,2024-05-20,AFFIDAVIT OF WITNESS,1,1182,reglas,pdf_texto,2026-09-19T12:57:58
4,letter_counsel.pdf,2024-04-18_CORRESPONDENCIA_3-24-cv-05148-MGL_RE-Dona-M-Fry-v-United-States-America-Case-No.pdf,CORRESPONDENCIA/2024,CORRESPONDENCIA,Correspondencia,0.675,procesado,0,3:24-cv-05148-MGL,2024-04-18,"McWHIRTER, BELLINGER & ASSOCIATES, P.A",1,1246,reglas,pdf_texto,2026-09-19T12:57:58
5,medical_bill.pdf,2023-02-02_FACTURA_sin-expediente_INVOICE.pdf,FACTURA/2023,FACTURA,Factura / estado de cuenta,0.92,procesado,0,,2023-02-02,INVOICE,1,1123,reglas,pdf_texto,2026-09-19T12:57:58
6,medical_record.pdf,2023-01-15_EXPEDIENTE-MEDICO_sin-expediente_LEXINGTON-MEDICAL-CENTER.pdf,EXPEDIENTE-MEDICO/2023,EXPEDIENTE-MEDICO,Expediente o factura medica,0.895,procesado,0,,2023-01-15,LEXINGTON MEDICAL CENTER,1,1231,reglas,pdf_texto,2026-09-19T12:57:58
7,notice_appearance.pdf,2024-09-25_NOTIFICACION_3-24-cv-05148-MGL_NOTICE-APPEARANCE.pdf,NOTIFICACION/2024,NOTIFICACION,Notificacion / Aviso,0.99,procesado,0,3:24-cv-05148-MGL,2024-09-25,NOTICE OF APPEARANCE,1,1130,reglas,pdf_texto,2026-09-19T12:57:58
8,motion_extend.pdf,2024-10-04_MOCION_3-24-cv-05148-MGL_MOTION-EXTENSION-TIME.pdf,MOCION/2024,MOCION,Mocion / Motion,0.817,procesado,0,3:24-cv-05148-MGL,2024-10-04,MOTION FOR EXTENSION OF TIME,1,1192,reglas,pdf_texto,2026-09-19T12:57:58
9,order_granting.pdf,2024-10-11_ORDEN_3-24-cv-05148-MGL_IT-IS-SO-ORDERED.pdf,ORDEN/2024,ORDEN,Orden / Resolucion judicial,0.78,procesado,0,3:24-cv-05148-MGL,2024-10-11,IT IS SO ORDERED,1,1137,reglas,pdf_texto,2026-09-19T12:57:58
10,police_report.pdf,2023-01-15_REPORTE-POLICIAL_sin-expediente_SOUTH-CAROLINA-TRAFFIC-COLLISION-REPORT.pdf,REPORTE-POLICIAL/2023,REPORTE-POLICIAL,Reporte policial / accidente,0.99,procesado,0,,2023-01-15,SOUTH CAROLINA TRAFFIC COLLISION REPORT,1,1170,reglas,pdf_texto,2026-09-19T12:57:58
11,settlement_agreement.pdf,2024-11-15_CONTRATO_sin-expediente_SETTLEMENT-AGREEMENT-RELEASE-ALL-CLAIMS.pdf,CONTRATO/2024,CONTRATO,Contrato / acuerdo,0.99,procesado,0,,2024-11-15,SETTLEMENT AGREEMENT AND RELEASE OF ALL CLAIMS,1,1192,reglas,pdf_texto,2026-09-19T12:57:58
12,summons.pdf,2024-09-20_CITACION_3-24-cv-05148-MGL_SUMMONS-IN-A-CIVIL-ACTION.pdf,CITACION/2024,CITACION,Citacion / Summons,0.863,procesado,0,3:24-cv-05148-MGL,2024-09-20,SUMMONS IN A CIVIL ACTION,1,1211,reglas,pdf_texto,2026-09-19T12:57:58
13,doc_0011.pdf,2024-09-18_DEMANDA_3-24-cv-05148-MGL_Dona-M-Fry-v-United-State-America.pdf,DEMANDA/2024,DEMANDA,Demanda / Complaint,0.855,procesado,0,3:24-cv-05148-MGL,2024-09-18,COMPLAINT,4,210590,reglas,pdf_texto,2026-09-19T12:58:12
