id,session_id,track_key,label,first_ts,last_ts,first_video_ts,last_video_ts,duration_s,frames,avg_conf,distance_px,zones_json,path_json
1,1,P1-O-0004,bowl,2026-09-19T13:00:07,2026-09-19T13:00:10,27.861166666666666,30.697333333333333,2.84,8,0.374,0.7,{},"[[0.8862, 0.3158], [0.8863, 0.3165]]"
2,1,P1-O-0003,bowl,2026-09-19T13:00:06,2026-09-19T13:00:11,26.526500000000002,31.865166666666667,5.34,24,0.419,2.0,{},"[[0.936, 0.3577], [0.9359, 0.3573], [0.9358, 0.3578], [0.9358, 0.358], [0.936, 0.3578], [0.9359, 0.3575]]"
3,1,P1-0006,person,2026-09-19T13:00:05,2026-09-19T13:00:17,26.026,37.5375,11.51,70,0.793,661.6,"{""Recepcion"": 8.5}","[[0.0476, 0.9933], [0.0935, 0.9873], [0.105, 0.9902], [0.1427, 0.9925], [0.1524, 0.9743], [0.1392, 0.8935], [0.1488, 0.8442], [0.1479, 0.8219], [0.1302, 0.5591], [0.1368, 0.5657], [0.1376, 0.5575], [0.1336, 0.6099], [0.1322, 0.7457], [0.1164, 0.8267], [0.1288, 0.815], [0.1286, 0.8115], [0.1345, 0.7138], [0.1631, 0.7862]]"
4,1,P1-0001,person,2026-09-19T12:59:46,2026-09-19T13:00:22,7.007000000000001,42.37566666666667,35.37,196,0.818,1152.8,"{""Area de trabajo"": 21.7, ""Pasillo / Acceso"": 6.2}","[[0.8777, 0.9908], [0.8643, 0.9922], [0.8296, 0.991], [0.7765, 0.9939], [0.7584, 0.9926], [0.6869, 0.9926], [0.6607, 0.9946], [0.6531, 0.9956], [0.6214, 0.8542], [0.5763, 0.8783], [0.5744, 0.8724], [0.5782, 0.886], [0.5757, 0.8779], [0.6181, 0.8642], [0.6275, 0.8883], [0.6357, 0.852], [0.6179, 0.8406], [0.6008, 0.7206], [0.6272, 0.8106], [0.6234, 0.7275], [0.6091, 0.725], [0.6174, 0.6908], [0.6269, 0.5757], [0.6171, 0.5567], [0.6065, 0.6002], [0.6155, 0.5802], [0.6169, 0.5564], [0.6139, 0.555], [0.5852, 0.4934], [0.5828, 0.4145], [0.5552, 0.3795], [0.5401, 0.3068], [0.5403, 0.3047], [0.5413, 0.2952], [0.5402, 0.336], [0.5386, 0.3601], [0.5366, 0.3775], [0.5366, 0.3853], [0.5363, 0.4077], [0.5382, 0.3672], [0.5564, 0.3628], [0.5574, 0.356], [0.5588, 0.3542], [0.5663, 0.3433], [0.5593, 0.3266], [0.5609, 0.3117], [0.5466, 0.3054], [0.5474, 0.2792], [0.554, 0.2255]]"
5,1,P1-0010,person,2026-09-19T13:00:21,2026-09-19T13:00:25,41.37466666666667,46.046,4.67,25,0.719,44.1,"{""Area de trabajo"": 4.3}","[[0.6472, 0.5616], [0.6347, 0.5577], [0.6336, 0.5581], [0.6441, 0.5592], [0.6445, 0.5597], [0.6421, 0.5616], [0.6513, 0.5604]]"
6,1,P1-0003,person,2026-09-19T12:59:51,2026-09-19T13:00:27,11.845166666666668,47.714333333333336,35.87,166,0.778,712.8,"{""Area de trabajo"": 16.0}","[[0.8749, 0.9945], [0.8077, 0.9914], [0.7846, 0.9902], [0.7286, 0.9917], [0.7105, 0.9896], [0.6748, 0.9968], [0.6733, 0.9947], [0.6945, 0.9901], [0.6971, 0.9921], [0.6834, 0.9922], [0.6781, 0.9912], [0.6757, 0.9915], [0.6839, 0.9924], [0.6917, 0.9933], [0.6932, 0.9912], [0.6886, 0.9903], [0.6892, 0.993], [0.6825, 0.993], [0.684, 0.9946], [0.6849, 0.9931], [0.6803, 0.9949], [0.6736, 0.9961], [0.697, 0.9952], [0.707, 0.9784], [0.6987, 0.8707], [0.6872, 0.8403], [0.672, 0.7738], [0.6531, 0.6945], [0.6536, 0.6921], [0.6485, 0.6447], [0.6342, 0.595], [0.6344, 0.5827], [0.6347, 0.5797], [0.6214, 0.5774], [0.6211, 0.4531], [0.6263, 0.5731], [0.6429, 0.5628], [0.6345, 0.5633], [0.6386, 0.5589], [0.6397, 0.5583], [0.6315, 0.5519], [0.6227, 0.5551]]"
7,1,P1-0009,person,2026-09-19T13:00:17,2026-09-19T13:00:32,37.5375,52.71933333333333,15.18,91,0.794,703.4,"{""Recepcion"": 14.0}","[[0.1713, 0.5621], [0.1766, 0.5406], [0.1781, 0.5337], [0.1751, 0.5138], [0.1416, 0.5182], [0.1332, 0.593], [0.1293, 0.5777], [0.1215, 0.5689], [0.1378, 0.7607], [0.1847, 0.534], [0.2111, 0.4854], [0.226, 0.7193], [0.2382, 0.6771], [0.2613, 0.6725], [0.2859, 0.6281], [0.2913, 0.6271], [0.2904, 0.5784], [0.3063, 0.5738], [0.3237, 0.5402], [0.3279, 0.5283], [0.3268, 0.5286], [0.3275, 0.5254], [0.3277, 0.4167]]"
8,1,P1-O-0002,bowl,2026-09-19T12:59:51,2026-09-19T13:00:32,12.012,52.052,40.04,124,0.445,15.7,{},"[[0.9186, 0.6854], [0.92, 0.6851], [0.9188, 0.6853], [0.9188, 0.6854], [0.9188, 0.6856], [0.9185, 0.6857], [0.9184, 0.6856], [0.9186, 0.6858], [0.9187, 0.6858], [0.9189, 0.6851], [0.9187, 0.6856], [0.9187, 0.6856], [0.9185, 0.686], [0.9184, 0.6858], [0.9186, 0.6858], [0.9185, 0.6853], [0.9189, 0.685], [0.9186, 0.6853], [0.9186, 0.685], [0.9188, 0.6849], [0.919, 0.6851], [0.9185, 0.6857], [0.9186, 0.685], [0.9186, 0.6852], [0.919, 0.6849], [0.9188, 0.6851], [0.9189, 0.6853], [0.9186, 0.685], [0.9186, 0.6852], [0.9185, 0.6854], [0.9186, 0.6853]]"
9,1,P1-0002,person,2026-09-19T12:59:51,2026-09-19T13:00:45,11.177833333333334,65.39866666666667,54.22,325,0.846,1650.5,"{""Sala de juntas"": 3.7, ""Area de trabajo"": 42.5}","[[0.5945, 0.7988], [0.5364, 0.7757], [0.5071, 0.7585], [0.5021, 0.7518], [0.5042, 0.7927], [0.5033, 0.7596], [0.5029, 0.7569], [0.496, 0.751], [0.5051, 0.7716], [0.5222, 0.7692], [0.5423, 0.7465], [0.5717, 0.7562], [0.5776, 0.7523], [0.5771, 0.7519], [0.5882, 0.759], [0.5904, 0.7706], [0.5871, 0.7863], [0.5865, 0.7735], [0.5853, 0.7547], [0.5893, 0.7816], [0.5879, 0.7471], [0.5877, 0.7534], [0.577, 0.7497], [0.5288, 0.733], [0.5324, 0.7192], [0.531, 0.7157], [0.5285, 0.7162], [0.5323, 0.7167], [0.5319, 0.7165], [0.5396, 0.7207], [0.5466, 0.7297], [0.5645, 0.7259], [0.576, 0.7279], [0.584, 0.7287], [0.5777, 0.7287], [0.5696, 0.7449], [0.5968, 0.7019], [0.6329, 0.7026], [0.6527, 0.6973], [0.6833, 0.6705], [0.6863, 0.6598], [0.6858, 0.6582], [0.6858, 0.658], [0.6856, 0.6602], [0.6862, 0.6603], [0.6874, 0.6606], [0.6865, 0.6609], [0.6873, 0.6603], [0.6704, 0.6591], [0.6396, 0.6417], [0.6358, 0.6398], [0.6351, 0.5972], [0.6293, 0.5959], [0.6256, 0.5557], [0.6357, 0.5499], [0.6391, 0.5452], [0.631, 0.5469], [0.6374, 0.5443], [0.6376, 0.5454], [0.6369, 0.5446]]"
10,1,P1-0008,person,2026-09-19T13:00:07,2026-09-19T13:00:44,27.861166666666666,64.89816666666667,37.04,220,0.827,1066.4,"{""Recepcion"": 27.5}","[[0.0481, 0.9927], [0.0775, 0.9918], [0.0991, 0.9915], [0.1101, 0.9916], [0.1271, 0.9914], [0.1605, 0.9914], [0.1749, 0.9676], [0.1738, 0.9878], [0.1997, 0.9755], [0.2411, 0.8998], [0.2287, 0.8863], [0.2171, 0.8931], [0.2142, 0.9073], [0.208, 0.891], [0.2261, 0.8906], [0.2415, 0.9029], [0.2406, 0.9003], [0.2375, 0.9111], [0.1936, 0.9132], [0.1703, 0.9711], [0.1616, 0.978], [0.1604, 0.987], [0.2075, 0.927], [0.2212, 0.9118], [0.2218, 0.896], [0.1917, 0.9909], [0.1399, 0.9932], [0.1312, 0.9933], [0.1189, 0.9931], [0.1378, 0.9921], [0.1454, 0.9248], [0.151, 0.8483], [0.1837, 0.8405], [0.2163, 0.7571], [0.2301, 0.7174], [0.2487, 0.6942], [0.2863, 0.6853], [0.2951, 0.6654], [0.31, 0.6487], [0.3148, 0.6514], [0.3205, 0.5612], [0.2926, 0.5733], [0.2887, 0.5828], [0.2936, 0.5917], [0.2964, 0.587], [0.3035, 0.5656], [0.3065, 0.5504], [0.3078, 0.5277], [0.3101, 0.5198], [0.2969, 0.5753], [0.2825, 0.5901], [0.2793, 0.5886], [0.2792, 0.5867], [0.2868, 0.589], [0.3069, 0.576]]"
